E-code,Ten loi,Module,Muc do,Latching,Trigger,Firmware da tu lam gi,Interlock,Nguoi van hanh,Goi ky thuat khi
101,MAT CAM BIEN,Cam bien nhiet/am (RS485),Stop,Khong,"Mat giao tiep Modbus hoac du lieu qua cu","Retry 2 lan/chu ky, offline sau 2 chu ky lien tiep","Cat SSR+contactor tong, ep quat tuan hoan, KHONG khoa dao","Kiem tra day/dau noi RS485, cho tu ket noi lai","Da kiem tra day/dau noi ma van con loi"
102,CAM BIEN SAI,Cam bien nhiet/am,Stop,Khong,"Gia tri ngoai dai vat ly cho phep","Bao ngay, khong retry so truoc","Cat SSR+contactor tong, ep quat","Kiem tra cam bien/vi tri dat, nhieu dien","Lap lai nhieu lan"
103,CAM BIEN BAT THUONG,Cam bien nhiet/am,Stop,Khong,"Tut nhiet dot ngot >1.5C chua xac nhan","Can 3 mau lien tiep khop nhau moi quyet dinh","Cat nhiet tam thoi, ep quat","Cho he thong tu xac nhan (vai giay)","Lap lai thuong xuyen"
110,NHIET DO THAP,Dieu khien nhiet,Canh bao,Khong,"Duoi nguong cau hinh","Bao ngay theo nguong","Khong khoa gi","Kiem tra cua/nap buong ap",""
111,NHIET DO CAO,Dieu khien nhiet,Stop,Khong,"Vuot nguong cao","Bao ngay","Cat SSR (giu contactor), ep ca 2 quat, khoa dao","Kiem tra quat tan nhiet/thong gio","Khong ha sau khi ep quat, lap lai nhieu lan/ngay"
112,QUA NHIET KHAN CAP,Dieu khien nhiet,Khan cap,KHONG (tu xoa khi nhiet ha - xem safety review),"Vuot nguong khan cap","Bao ngay","Cat SSR + nha contactor tong ngay, ep ca 2 quat, khoa dao","Dung me neu nghi ngo an toan, kiem tra quat/SSR","Bat ky lan nao xay ra E112"
113,NHIET DO BIEN THIEN NHANH,Chan doan nhiet,Canh bao,Khong,"Toc do doi nhiet vuot nguong","Bao ngay (chan doan som)","Khong khoa gi","Theo doi them",""
114,NHIET DO KHONG ON DINH,Chan doan nhiet,Canh bao,Khong,"Dao dong vuot bien do","Bao ngay","Khong khoa gi","Kiem tra cua buong ap/gio lua","Lap lai thuong xuyen"
115,THANH NHIET KHONG NONG,Thanh nhiet (SSR),Canh bao,Khong,"SSR bat nhung nhiet khong tang du sau 15 phut","Theo doi 900000 ms truoc khi bao","Khong khoa gi (chi canh bao)","Kiem tra thanh nhiet/cau chi/relay","Xac nhan thanh nhiet khong nong"
120,DO AM THAP,Dieu khien do am,Canh bao,Khong,"Duoi nguong cau hinh","Bao ngay","Khong khoa gi","Kiem tra khay/nguon cap am",""
